objectid;área;nome;regiao_adm;area_plane;codbairro;codra;codbnum;link;rp;cod_rp;codbairro_;st_areasha;st_perimet;area_km2
336;1621126,188476560171694;Jardim Carioca;ILHA DO GOVERNADOR;3;100;20;100;Jardim Carioca            &area=100;Ilha do Governador;3.7;100;1621130,575177731225267;6150,888080713012641;1,621130575180000
337;8311405,554687500000000;Pavuna;PAVUNA;3;114;25;114;Pavuna                    &area=114;Pavuna;3.6;114;8311428,030284469947219;18418,081855646145414;8,311428030280000
338;3856801,066894530318677;Cordovil;VIGARIO GERAL;3;046;31;46;Cordovil                  &area=46;Penha;3.5;46;3856811,476427385117859;13947,722740818147940;3,856811476430000
339;3205882,070800779853016;Jardim Guanabara;ILHA DO GOVERNADOR;3;099;20;99;Jardim Guanabara          &area=99;Ilha do Governador;3.7;99;3205890,691404952667654;9028,419393609819963;3,205890691400000
340;2197968,694824220146984;Parada de Lucas;VIGARIO GERAL;3;047;31;47;Parada de Lucas           &area=47;Penha;3.5;47;2197974,637946579605341;9216,714274780955748;2,197974637950000
341;1517134,466308590024710;Parque Colúmbia;PAVUNA;3;159;25;159;Parque Colúmbia           &area=159;Pavuna;3.6;159;1517138,541834378149360;6179,277677140141350;1,517138541830000
342;379405,898925779969431;Praia da Bandeira;ILHA DO GOVERNADOR;3;095;20;95;Praia da Bandeira         &area=95;Ilha do Governador;3.7;95;379406,929344802745618;3423,226900022775226;0,379406929345000
343;4623381,895996090024710;Penha Circular;PENHA;3;044;11;44;Penha Circular            &area=44;Penha;3.5;44;4623394,364033970981836;16639,422656534683483;4,623394364030000
345;2068686,081054690061137;Cacuia;ILHA DO GOVERNADOR;3;093;20;93;Cacuia                    &area=93;Ilha do Governador;3.7;93;2068691,670363937038928;10232,347014896464316;2,068691670360000
346;7477839,769531250000000;Irajá;IRAJA;3;076;14;76;Irajá                     &area=76;Madureira;3.3;76;7477859,905138947069645;18436,020158213592367;7,477859905140000
347;4345726,979003909975290;Anchieta;ANCHIETA;3;107;22;107;Anchieta                  &area=107;Pavuna;3.6;107;4345738,720982576720417;11471,434325252452254;4,345738720980000
348;1605524,320312500000000;Acari;PAVUNA;3;111;25;111;Acari                     &area=111;Pavuna;3.6;111;1605528,605370582314208;6408,781457871807106;1,605528605370000
349;604129,774902339908294;Pitangueiras;ILHA DO GOVERNADOR;3;094;20;94;Pitangueiras              &area=94;Ilha do Governador;3.7;94;604131,394923233659938;3514,096022321278269;0,604131394923000
350;1814831,705566409975290;Costa Barros;PAVUNA;3;113;25;113;Costa Barros              &area=113;Pavuna;3.6;113;1814836,573451187228784;6638,999099547446349;1,814836573450000
351;3522221,852539060171694;Brás de Pina;PENHA;3;045;11;45;Brás de Pina              &area=45;Penha;3.5;45;3522231,336921377107501;12591,627245295152534;3,522231336920000
352;5811323,138671880587935;Penha;PENHA;3;043;11;43;Penha                     &area=43;Penha;3.5;43;5811338,820852215401828;13667,794011660009346;5,811338820850000
353;161117,784179690002929;Zumbi;ILHA DO GOVERNADOR;3;092;20;92;Zumbi                     &area=92;Ilha do Governador;3.7;92;161118,235725701233605;2122,524106635972657;0,161118235726000
354;861924,822753909975290;Ribeira;ILHA DO GOVERNADOR;3;091;20;91;Ribeira                   &area=91;Ilha do Governador;3.7;91;861927,156472415663302;7050,041084236008828;0,861927156472000
355;2511970,338378909975290;Coelho Neto;PAVUNA;3;110;25;110;Coelho Neto               &area=110;Pavuna;3.6;110;2511977,150505090132356;7534,548693899095269;2,511977150510000
356;3820007,673339840024710;Guadalupe;ANCHIETA;3;106;22;106;Guadalupe                 &area=106;Pavuna;3.6;106;3820017,981592127587646;10384,246204600254714;3,820017981590000
357;3905790,007324220146984;Parque Anchieta;ANCHIETA;3;108;22;108;Parque Anchieta           &area=108;Pavuna;3.6;108;3905800,482052277307957;13017,752634876078446;3,905800482050000
358;1723864,333496089791879;Barros Filho;PAVUNA;3;112;25;112;Barros Filho              &area=112;Pavuna;3.6;112;1723868,974502149736509;7194,163300337610963;1,723868974500000
359;515209,051757809997071;Vista Alegre;IRAJA;3;075;14;75;Vista Alegre              &area=75;Madureira;3.3;75;515210,428664152452257;3581,530910709466298;0,515210428664000
360;2116869,799316409975290;Ricardo de Albuquerque;ANCHIETA;3;109;22;109;Ricardo de Albuquerque    &area=109;Pavuna;3.6;109;2116875,498040712904185;9196,705978294465240;2,116875498040000
361;2261110,268554689828306;Colégio;IRAJA;3;077;14;77;Colégio                   &area=77;Madureira;3.3;77;2261116,341690598987043;7739,232425019455150;2,261116341690000
362;1374847,056640630122274;Honório Gurgel;MADUREIRA;3;087;15;87;Honório Gurgel            &area=87;Madureira;3.3;87;1374850,699903117259964;6884,593525104519358;1,374850699900000
363;3689833,247070310171694;Olaria;RAMOS;3;042;10;42;Olaria                    &area=42;Ramos;3.1;42;3689843,104991391766816;12231,009936243870470;3,689843104990000
364;1435715,755371090024710;Vila da Penha;IRAJA;3;074;14;74;Vila da Penha             &area=74;Madureira;3.3;74;1435719,617080163676292;6100,170492418504182;1,435719617080000
365;4268761,302734379656613;Maré;COMPLEXO DA MARE;3;157;30;157;Maré                      &area=157;Ramos;3.1;157;4268772,775381146930158;13082,638710071445530;4,268772775380000
366;10756709,423828130587935;Vila Militar;REALENGO;5;135;33;135;Vila Militar              &area=135;Bangu;5.1;135;10756738,323023971170187;18077,023093641852029;10,756738323000000
367;4690706,469726560637355;Cidade Universitária;ILHA DO GOVERNADOR;3;105;20;105;Cidade Universitária      &area=105;Ilha do Governador;3.7;105;4690719,087224005721509;22376,252521501475712;4,690719087220000
368;2886705,523925779853016;Rocha Miranda;MADUREIRA;3;086;15;86;Rocha Miranda             &area=86;Madureira;3.3;86;2886713,312752617523074;9166,736174145515179;2,886713312750000
369;2793533,000000000000000;Ramos;RAMOS;3;041;10;41;Ramos                     &area=41;Ramos;3.1;41;2793540,529230173211545;8911,705084393928701;2,793540529230000
370;26054198,068847659975290;Realengo;REALENGO;5;139;33;139;Realengo                  &area=139;Bangu;5.1;139;26054267,778423093259335;30896,866166006562707;26,054267778400000
371;1519254,129882809938863;Vila Kosmos;IRAJA;3;072;14;72;Vila Kosmos               &area=72;Madureira;3.3;72;1519258,195167182479054;6511,866619648618325;1,519258195170000
372;3886225,660644529853016;Marechal Hermes;MADUREIRA;3;090;15;90;Marechal Hermes           &area=90;Madureira;3.3;90;3886236,031829517800361;11946,984755332685381;3,886236031830000
373;1835710,649902340024710;Vicente de Carvalho;IRAJA;3;073;14;73;Vicente de Carvalho       &area=73;Madureira;3.3;73;1835715,639332751510665;6753,016845975804245;1,835715639330000
374;27417970,833007808774710;Paciência;SANTA CRUZ;5;148;19;148;Paciência                 &area=148;Santa Cruz;5.3;148;27418044,175438199192286;34307,612115051837463;27,418044175399999
375;2225644,968261720146984;Engenho da Rainha;INHAUMA;3;055;12;55;Engenho da Rainha         &area=55;Inhaúma;3.4;55;2225650,906887932680547;9188,822441568414433;2,225650906890000
376;2960855,184570310171694;Complexo do Alemão;COMPLEXO DO ALEMÃO;3;156;29;156;Complexo do Alemão        &area=156;Inhaúma;3.4;156;2960863,124746925197542;11998,452432870082703;2,960863124750000
377;1101220,962402340024710;Vaz Lobo;MADUREIRA;3;084;15;84;Vaz Lobo                  &area=84;Madureira;3.3;84;1101223,899128260323778;5030,573926943615334;1,101223899130000
